Ref. No,title,type,price,bedrooms,bathrooms,area
Bayut - 1016-9TCav8,Villa for sale in front of Madinaty Pay 5% Over 12-year installments in Sarai Compound New Cairo minutes from New Capital & Fifth Settlement,Villa,"12,450,000",3 Beds,3 Baths,150 Sq. M.
Bayut - 1016-9TCav8,Villa for sale in front of Madinaty Pay 5% Over 12-year installments in Sarai Compound New Cairo minutes from New Capital & Fifth Settlement,Villa,"12,450,000",3 Beds,3 Baths,150 Sq. M.
Bayut - 1016-HuhCg6,Apartment in 5th Settlement for sale160m corner in the best location  ready to move at lowest price open view with a wonderful desigin 5settelement,Apartment,"2,700,000",3 Beds,3 Baths,160 Sq. M.
Bayut - 1016-HuhCg6,Apartment in 5th Settlement for sale160m corner in the best location  ready to move at lowest price open view with a wonderful desigin 5settelement,Apartment,"2,700,000",3 Beds,3 Baths,160 Sq. M.
Bayut - 5000832-heAVGU,4bedroom apartment semi finished with 8 years installments in ixora compound,Apartment,"5,498,500",4 Beds,3 Baths,177 Sq. M.
Bayut - 5000832-heAVGU,4bedroom apartment semi finished with 8 years installments in ixora compound,Apartment,"5,498,500",4 Beds,3 Baths,177 Sq. M.
Bayut - 6195-sNYLTm,"113 sqm super deluxe finished chalet for sale in Ain Sokhna, Baymount Village",Chalet,"5,000,000",2 Beds,2 Baths,113 Sq. M.
Bayut - 6195-sNYLTm,"113 sqm super deluxe finished chalet for sale in Ain Sokhna, Baymount Village",Chalet,"5,000,000",2 Beds,2 Baths,113 Sq. M.
Bayut - 1016-9D8aNa,Apartment for sale VIP View on Nile 100% return in dollars installments until 2031 directly on Maadi Corniche next to Hilton EL Maadi,Apartment,"10,000,000",1 Bed,1 Bath,41 Sq. M.
Bayut - 1016-9D8aNa,Apartment for sale VIP View on Nile 100% return in dollars installments until 2031 directly on Maadi Corniche next to Hilton EL Maadi,Apartment,"10,000,000",1 Bed,1 Bath,41 Sq. M.
Bayut - 5000310-YHhkFv,"Apartment for sale, 93 m, ready for inspection, with the lowest down payment, directly on the sea, with installments over the longest period,",Apartment,"2,000,000",1 Bed,1 Bath,93 Sq. M.
Bayut - 5000310-YHhkFv,"Apartment for sale, 93 m, ready for inspection, with the lowest down payment, directly on the sea, with installments over the longest period,",Apartment,"2,000,000",1 Bed,1 Bath,93 Sq. M.
Bayut - 5000310-NLGzU5,"Apartment for sale Ready to Move , 215 square meters, with a direct sea view, fully finished, with installments up to 12 years in Mazarine New Alamein",Apartment,"3,750,000",3 Beds,2 Baths,215 Sq. M.
Bayut - 5000310-NLGzU5,"Apartment for sale Ready to Move , 215 square meters, with a direct sea view, fully finished, with installments up to 12 years in Mazarine New Alamein",Apartment,"3,750,000",3 Beds,2 Baths,215 Sq. M.
Bayut - 5000083-xH6nEe,"Apartment for sale in installments over 10 years, the best location in Hyde Park in the Fifth Settlement, minutes from the Ring Road and 90th Street",Apartment,"11,000,000",3 Beds,3 Baths,150 Sq. M.
Bayut - 5000083-xH6nEe,"Apartment for sale in installments over 10 years, the best location in Hyde Park in the Fifth Settlement, minutes from the Ring Road and 90th Street",Apartment,"11,000,000",3 Beds,3 Baths,150 Sq. M.
Bayut - 5000083-btViD8,"Villa with rooms, no down payment, installments over 12 years, and a 50% discount, in the best phase in Sarai Compound, next to Madinaty",Villa,"8,000,000",4 Beds,3 Baths,212 Sq. M.
Bayut - 5000083-btViD8,"Villa with rooms, no down payment, installments over 12 years, and a 50% discount, in the best phase in Sarai Compound, next to Madinaty",Villa,"8,000,000",4 Beds,3 Baths,212 Sq. M.
Bayut - A-T 01,Apartment for sale in Al Alamein Towers - Lowest Price,Apartment,"20,000,000",2 Beds,3 Baths,171 Sq. M.
Bayut - A-T 01,Apartment for sale in Al Alamein Towers - Lowest Price,Apartment,"20,000,000",2 Beds,3 Baths,171 Sq. M.
Bayut - Ap2 vill 2BRG,Your finished home 2BR with ACs and private garden by Dorra | For sale in Sheikh Zayed,Apartment,"12,700,000",2 Beds,2 Baths,120 Sq. M.
Bayut - Ap2 vill 2BRG,Your finished home 2BR with ACs and private garden by Dorra | For sale in Sheikh Zayed,Apartment,"12,700,000",2 Beds,2 Baths,120 Sq. M.
Bayut - Ap1 vill 3BR,"Ready to move | Fully finished Apartment with ACs, Club fees in Village west| For sale in Sheikh zayed",Apartment,"16,900,000",3 Beds,3 Baths,170 Sq. M.
Bayut - Ap1 vill 3BR,"Ready to move | Fully finished Apartment with ACs, Club fees in Village west| For sale in Sheikh zayed",Apartment,"16,900,000",3 Beds,3 Baths,170 Sq. M.
Bayut - 1016-MyR8Sw,Wonderful view on lagoon & towers Apartment for sale return in dollars - immediate delivery - fully finished - in Latin Quarter - New Alamein minutes,Apartment,"4,100,000",2 Beds,2 Baths,130 Sq. M.
Bayut - 1016-MyR8Sw,Wonderful view on lagoon & towers Apartment for sale return in dollars - immediate delivery - fully finished - in Latin Quarter - New Alamein minutes,Apartment,"4,100,000",2 Beds,2 Baths,130 Sq. M.
Bayut - Ch1 taw 1BR+p,Finished Chalet with penthouse  with Direct pool access and breathtaking view on the lagoon | For sale in Gouna,Chalet,"12,000,000",1 Bed,1 Bath,70 Sq. M.
Bayut - Ch1 taw 1BR+p,Finished Chalet with penthouse  with Direct pool access and breathtaking view on the lagoon | For sale in Gouna,Chalet,"12,000,000",1 Bed,1 Bath,70 Sq. M.
Bayut - 1016-vwqcHs,"Apartment for sale with a special discount for a limited period in Sarai New Cairo, Fifth Settlement, on the Suez Road, next to Madinaty,",Apartment,"5,600,000",3 Beds,2 Baths,158 Sq. M.
Bayut - 1016-vwqcHs,"Apartment for sale with a special discount for a limited period in Sarai New Cairo, Fifth Settlement, on the Suez Road, next to Madinaty,",Apartment,"5,600,000",3 Beds,2 Baths,158 Sq. M.
Bayut - 1016-u2abLA,Villa for Sale 3-Floor Stunning Crystal Lagoon View & El Alamein Towers in Mazarin - New Alamein - North Coast - near Marassi & Hacienda,Villa,"13,700,000",5 Beds,5 Baths,295 Sq. M.
Bayut - 1016-u2abLA,Villa for Sale 3-Floor Stunning Crystal Lagoon View & El Alamein Towers in Mazarin - New Alamein - North Coast - near Marassi & Hacienda,Villa,"13,700,000",5 Beds,5 Baths,295 Sq. M.
Bayut - 5000164-aADdOv,Ready to move Fully Furnished Sea Front Villa in Telal Sokhna,Villa,"25,000,000",5 Beds,5 Baths,220 Sq. M.
Bayut - 5000164-aADdOv,Ready to move Fully Furnished Sea Front Villa in Telal Sokhna,Villa,"25,000,000",5 Beds,5 Baths,220 Sq. M.
Bayut - 5000164-3vnkON,Ready to move Twinhouse Pool View in Flower Resort,Twin House,"20,000,000",6 Beds,6 Baths,500 Sq. M.
Bayut - 5000164-3vnkON,Ready to move Twinhouse Pool View in Flower Resort,Twin House,"20,000,000",6 Beds,6 Baths,500 Sq. M.
Bayut - 5000164-na31wx,Rare Villa First Row Golf with high end Finishing in Terencia,Villa,"260,000,000",6 Beds,7 Baths,"1,550 Sq. M."
Bayut - 5000164-na31wx,Rare Villa First Row Golf with high end Finishing in Terencia,Villa,"260,000,000",6 Beds,7 Baths,"1,550 Sq. M."
Bayut - 5000310-q7M8Je,Chalet for sale sea and lagoon view fully finished ready for delivery with area 110 m the best location in the North Coast Compound La Vista Bay East,Chalet,"5,000,000",3 Beds,2 Baths,150 Sq. M.
Bayut - 5000310-q7M8Je,Chalet for sale sea and lagoon view fully finished ready for delivery with area 110 m the best location in the North Coast Compound La Vista Bay East,Chalet,"5,000,000",3 Beds,2 Baths,150 Sq. M.
Bayut - 1016------tmrR4H,Chalet for sale 3bedrooms direct view on the lagoon and overlooking the sea in Mazarine El Alamein City,Chalet,"8,249,000",3 Beds,3 Baths,229 Sq. M.
Bayut - 1016------tmrR4H,Chalet for sale 3bedrooms direct view on the lagoon and overlooking the sea in Mazarine El Alamein City,Chalet,"8,249,000",3 Beds,3 Baths,229 Sq. M.
Bayut - 1016-----DrzAxX,Apartment for sale 172m (ultra modern finishing) bahari minutes from the American University in the Sixth Settlement,Apartment,"14,450,000",3 Beds,3 Baths,172 Sq. M.
Bayut - 1016-----DrzAxX,Apartment for sale 172m (ultra modern finishing) bahari minutes from the American University in the Sixth Settlement,Apartment,"14,450,000",3 Beds,3 Baths,172 Sq. M.
Bayut - 1016-----GMeM99,Villa for sale 926m with a VIP view in Hyde Park Fifth Settlement,Villa,"24,472,900",7 Beds,7 Baths,926 Sq. M.
Bayut - 1016-----GMeM99,Villa for sale 926m with a VIP view in Hyde Park Fifth Settlement,Villa,"24,472,900",7 Beds,7 Baths,926 Sq. M.
Bayut - 5000083-p13uCN,"Two-bedroom apartment for sale, fully furnished, air-conditioned, and equipped, rented in dollars, in an exceptional location",Apartment,"8,700,000",2 Beds,2 Baths,128 Sq. M.
Bayut - 5000083-p13uCN,"Two-bedroom apartment for sale, fully furnished, air-conditioned, and equipped, rented in dollars, in an exceptional location",Apartment,"8,700,000",2 Beds,2 Baths,128 Sq. M.
Bayut - 1016-9TCav8,Villa for sale in front of Madinaty Pay 5% Over 12-year installments in Sarai Compound New Cairo minutes from New Capital & Fifth Settlement,Villa,"12,450,000",3 Beds,3 Baths,150 Sq. M.
Bayut - 1016-9TCav8,Villa for sale in front of Madinaty Pay 5% Over 12-year installments in Sarai Compound New Cairo minutes from New Capital & Fifth Settlement,Villa,"12,450,000",3 Beds,3 Baths,150 Sq. M.
Bayut - 1016-HuhCg6,Apartment in 5th Settlement for sale160m corner in the best location  ready to move at lowest price open view with a wonderful desigin 5settelement,Apartment,"2,700,000",3 Beds,3 Baths,160 Sq. M.
Bayut - 1016-HuhCg6,Apartment in 5th Settlement for sale160m corner in the best location  ready to move at lowest price open view with a wonderful desigin 5settelement,Apartment,"2,700,000",3 Beds,3 Baths,160 Sq. M.
Bayut - 5000832-heAVGU,4bedroom apartment semi finished with 8 years installments in ixora compound,Apartment,"5,498,500",4 Beds,3 Baths,177 Sq. M.
Bayut - 5000832-heAVGU,4bedroom apartment semi finished with 8 years installments in ixora compound,Apartment,"5,498,500",4 Beds,3 Baths,177 Sq. M.
Bayut - 6195-sNYLTm,"113 sqm super deluxe finished chalet for sale in Ain Sokhna, Baymount Village",Chalet,"5,000,000",2 Beds,2 Baths,113 Sq. M.
Bayut - 6195-sNYLTm,"113 sqm super deluxe finished chalet for sale in Ain Sokhna, Baymount Village",Chalet,"5,000,000",2 Beds,2 Baths,113 Sq. M.
